Rank 1 | Hero: Edelgard | Vote count: 74617 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 2 | Hero: Dimitri | Vote count: 69448 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 3 | Hero: Claude | Vote count: 59751 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 4 | Hero: Marth | Vote count: 44107 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 5 | Hero: Lysithea | Vote count: 42462 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 6 | Hero: Bernadetta | Vote count: 37400 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 7 | Hero: Byleth (female) | Vote count: 35255 | Series: Three Houses (Academy Arc), Three Houses (Academy Arc) 
Rank 8 | Hero: Eirika | Vote count: 26040 | Series: The Sacred Stones 
Rank 9 | Hero: Plumeria | Vote count: 20800 | Series: Heroes 
Rank 10 | Hero: Chrom | Vote count: 15595 | Series: Awakening 
Rank 11 | Hero: Seliph | Vote count: 15593 | Series: Genealogy of the Holy War 
Rank 12 | Hero: Dorothea | Vote count: 15212 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 13 | Hero: Marianne | Vote count: 14105 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 14 | Hero: Felix | Vote count: 12465 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 15 | Hero: Anna | Vote count: 12137 | Series: Awakening 
Rank 16 | Hero: Hilda | Vote count: 11702 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 17 | Hero: Byleth (male) | Vote count: 10410 | Series: Three Houses (Academy Arc), Three Houses (Academy Arc) 
Rank 18 | Hero: Robin (male) | Vote count: 9898 | Series: Awakening 
Rank 19 | Hero: Ashe | Vote count: 9288 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 20 | Hero: Sylvain | Vote count: 9132 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 21 | Hero: Corrin (female) | Vote count: 9079 | Series: Fates 
Rank 22 | Hero: Tharja | Vote count: 7674 | Series: Awakening 
Rank 23 | Hero: Robin (female) | Vote count: 7352 | Series: Awakening 
Rank 24 | Hero: Jill | Vote count: 6999 | Series: Radiant Dawn, Path of Radiance 
Rank 25 | Hero: Sothis | Vote count: 6967 | Series: Three Houses (Academy Arc) 
Rank 26 | Hero: Soren | Vote count: 6873 | Series: Radiant Dawn, Path of Radiance 
Rank 27 | Hero: Jorge | Vote count: 6728 | Series: Radiant Dawn 
Rank 28 | Hero: Azura | Vote count: 6264 | Series: Fates 
Rank 29 | Hero: Sigurd | Vote count: 6198 | Series: Genealogy of the Holy War 
Rank 30 | Hero: Líf | Vote count: 5771 | Series: Heroes 
Rank 31 | Hero: Rhea | Vote count: 5627 | Series: Three Houses (Academy Arc) 
Rank 32 | Hero: Ingrid | Vote count: 5543 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 33 | Hero: Black Knight | Vote count: 5247 | Series: Radiant Dawn, Path of Radiance 
Rank 34 | Hero: Annette | Vote count: 5165 | Series: Three Houses (War Arc), Three Houses (Academy Arc) 
Rank 35 | Hero: Nino | Vote count: 5144 | Series: The Blazing Blade 
